atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Tureia,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ujae,-1,-1,,,-1,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,-1,,,-1,-1
Ujelang,-1,-1,,,-1,-1,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,-1,,,,
Ulithi,-1,-1,,,-1,,,,,,,,-1,-1,,-1,,,,,,,,,,,,,,,,-1,,,,,
Utirik,,,,,-1,,,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,
Vahanga,20,10,,,100,,,,,,,,,10,,,20,,,,,,20,,20,,,,,,,,200,,,,100
Vairaatea,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaitupu,-1,-1,,,-1,-1,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,
Vanavana,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Wailagilala,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,-1,-1
Wake,1000,2000,,,400,50000,60,,,,,,,,,5,30,2,2,,,,,,,,,,176,,,,225,70,,313,3000
Wotho,-1,-1,,,-1,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,-1,,,70,-1
Wotje,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,
