"","longitude","latitude","precip_anom"
"626",21.25,-33.75,-0.0599999986588955
"627",21.25,-36.25,0.0599999986588955
"628",21.25,-38.75,-0.0399999991059303
"629",21.25,-41.25,0.329999992623925
"630",21.25,-43.75,-0.0599999986588955
"631",21.25,-46.25,0.0599999986588955
"632",21.25,-48.75,0.0799999982118607
"633",21.25,-51.25,0.0999999977648258
"634",21.25,-53.75,-0.0599999986588955
"635",21.25,-56.25,-0.109999997541308
"636",21.25,-58.75,-0.159999996423721
"637",21.25,-61.25,-0.0699999984353781
"638",21.25,-63.75,-0.0599999986588955
"639",21.25,-66.25,-0.0499999988824129
"640",21.25,-68.75,-0.0199999995529652
"641",21.25,-71.25,0.0199999995529652
"642",21.25,-73.75,0.0399999991059303
"643",21.25,-76.25,0
"644",21.25,-78.75,0
"645",21.25,-81.25,0
"646",21.25,-83.75,0
"647",21.25,-86.25,-0.00999999977648258
"648",21.25,-88.75,0
"649",23.75,88.75,NA
"650",23.75,86.25,NA
"651",23.75,83.75,NA
"652",23.75,81.25,NA
"653",23.75,78.75,NA
"654",23.75,76.25,NA
"655",23.75,73.75,NA
"656",23.75,71.25,NA
"657",23.75,68.75,-0.0599999986588955
"658",23.75,66.25,-0.0599999986588955
"659",23.75,63.75,0
"660",23.75,61.25,-0.0799999982118607
"661",23.75,58.75,0.0399999991059303
"662",23.75,56.25,0.139999996870756
"663",23.75,53.75,0.0999999977648258
"664",23.75,51.25,-0.0399999991059303
"665",23.75,48.75,-0.129999997094274
"666",23.75,46.25,0.0699999984353781
"667",23.75,43.75,0.199999995529652
"668",23.75,41.25,0.179999995976686
"669",23.75,38.75,0.00999999977648258
"670",23.75,36.25,0
"671",23.75,33.75,0
"672",23.75,31.25,0.00999999977648258
"673",23.75,28.75,0.0399999991059303
"674",23.75,26.25,0.00999999977648258
"675",23.75,23.75,0
"676",23.75,21.25,0.0199999995529652
"677",23.75,18.75,0
"678",23.75,16.25,-0.0299999993294477
"679",23.75,13.75,-0.0999999977648258
"680",23.75,11.25,-0.119999997317791
"681",23.75,8.75,-0.0599999986588955
"682",23.75,6.25,-0.0399999991059303
"683",23.75,3.75,-0.249999994412065
"684",23.75,1.25,-0.34999999217689
"685",23.75,-1.25,-0.229999994859099
"686",23.75,-3.75,-0.0499999988824129
"687",23.75,-6.25,0.119999997317791
"688",23.75,-8.75,0.0599999986588955
"689",23.75,-11.25,0.0899999979883432
"690",23.75,-13.75,-0.359999991953373
"691",23.75,-16.25,-0.649999985471368
"692",23.75,-18.75,-0.709999984130263
"693",23.75,-21.25,-0.679999984800816
"694",23.75,-23.75,-0.509999988600612
"695",23.75,-26.25,-0.389999991282821
"696",23.75,-28.75,-0.429999990388751
"697",23.75,-31.25,-0.399999991059303
"698",23.75,-33.75,-0.259999994188547
"699",23.75,-36.25,-0.0699999984353781
"700",23.75,-38.75,0
"701",23.75,-41.25,0.289999993517995
"702",23.75,-43.75,-0.0299999993294477
"703",23.75,-46.25,0.00999999977648258
"704",23.75,-48.75,-0.0799999982118607
"705",23.75,-51.25,0.00999999977648258
"706",23.75,-53.75,-0.0299999993294477
"707",23.75,-56.25,-0.0899999979883432
"708",23.75,-58.75,-0.149999996647239
"709",23.75,-61.25,-0.0999999977648258
"710",23.75,-63.75,-0.0999999977648258
"711",23.75,-66.25,-0.0499999988824129
"712",23.75,-68.75,-0.00999999977648258
"713",23.75,-71.25,0
"714",23.75,-73.75,0.0399999991059303
"715",23.75,-76.25,0
"716",23.75,-78.75,0
"717",23.75,-81.25,0
"718",23.75,-83.75,0
"719",23.75,-86.25,-0.00999999977648258
"720",23.75,-88.75,-0.0199999995529652
"721",26.25,88.75,NA
"722",26.25,86.25,NA
"723",26.25,83.75,NA
"724",26.25,81.25,NA
"725",26.25,78.75,NA
"726",26.25,76.25,NA
"727",26.25,73.75,NA
"728",26.25,71.25,NA
"729",26.25,68.75,-0.0399999991059303
"730",26.25,66.25,-0.0499999988824129
"731",26.25,63.75,0.0299999993294477
"732",26.25,61.25,-0.0699999984353781
"733",26.25,58.75,0.0499999988824129
